datum,status_sportschool_model,corona_intensity,sportschool_gesloten,max_personen_per_ruimte,groepslessen_verboden
2018-02-02,Open,0,0,,0
2018-02-03,Open,0,0,,0
2018-02-04,Open,0,0,,0
2018-02-05,Open,0,0,,0
2018-02-06,Open,0,0,,0
2018-02-07,Open,0,0,,0
2018-02-08,Open,0,0,,0
2018-02-09,Open,0,0,,0
2018-02-10,Open,0,0,,0
2018-02-11,Open,0,0,,0
2018-02-12,Open,0,0,,0
2018-02-13,Open,0,0,,0
2018-02-14,Open,0,0,,0
2018-02-15,Open,0,0,,0
2018-02-16,Open,0,0,,0
2018-02-17,Open,0,0,,0
2018-02-18,Open,0,0,,0
2018-02-19,Open,0,0,,0
2018-02-20,Open,0,0,,0
2018-02-21,Open,0,0,,0
2018-02-22,Open,0,0,,0
2018-02-23,Open,0,0,,0
2018-02-24,Open,0,0,,0
2018-02-25,Open,0,0,,0
2018-02-26,Open,0,0,,0
2018-02-27,Open,0,0,,0
2018-02-28,Open,0,0,,0
2018-03-01,Open,0,0,,0
2018-03-02,Open,0,0,,0
2018-03-03,Open,0,0,,0
2018-03-04,Open,0,0,,0
2018-03-05,Open,0,0,,0
2018-03-06,Open,0,0,,0
2018-03-07,Open,0,0,,0
2018-03-08,Open,0,0,,0
2018-03-09,Open,0,0,,0
2018-03-10,Open,0,0,,0
2018-03-11,Open,0,0,,0
2018-03-12,Open,0,0,,0
2018-03-13,Open,0,0,,0
2018-03-14,Open,0,0,,0
2018-03-15,Open,0,0,,0
2018-03-16,Open,0,0,,0
2018-03-17,Open,0,0,,0
2018-03-18,Open,0,0,,0
2018-03-19,Open,0,0,,0
2018-03-20,Open,0,0,,0
2018-03-21,Open,0,0,,0
2018-03-22,Open,0,0,,0
2018-03-23,Open,0,0,,0
2018-03-24,Open,0,0,,0
2018-03-25,Open,0,0,,0
2018-03-26,Open,0,0,,0
2018-03-27,Open,0,0,,0
2018-03-28,Open,0,0,,0
2018-03-29,Open,0,0,,0
2018-03-30,Open,0,0,,0
2018-03-31,Open,0,0,,0
2018-04-01,Open,0,0,,0
2018-04-02,Open,0,0,,0
2018-04-03,Open,0,0,,0
2018-04-04,Open,0,0,,0
2018-04-05,Open,0,0,,0
2018-04-06,Open,0,0,,0
2018-04-07,Open,0,0,,0
2018-04-08,Open,0,0,,0
2018-04-09,Open,0,0,,0
2018-04-10,Open,0,0,,0
2018-04-11,Open,0,0,,0
2018-04-12,Open,0,0,,0
2018-04-13,Open,0,0,,0
2018-04-14,Open,0,0,,0
2018-04-15,Open,0,0,,0
2018-04-16,Open,0,0,,0
2018-04-17,Open,0,0,,0
2018-04-18,Open,0,0,,0
2018-04-19,Open,0,0,,0
2018-04-20,Open,0,0,,0
2018-04-21,Open,0,0,,0
2018-04-22,Open,0,0,,0
2018-04-23,Open,0,0,,0
2018-04-24,Open,0,0,,0
2018-04-25,Open,0,0,,0
2018-04-26,Open,0,0,,0
2018-04-27,Open,0,0,,0
2018-04-28,Open,0,0,,0
2018-04-29,Open,0,0,,0
2018-04-30,Open,0,0,,0
2018-05-01,Open,0,0,,0
2018-05-02,Open,0,0,,0
2018-05-03,Open,0,0,,0
2018-05-04,Open,0,0,,0
2018-05-05,Open,0,0,,0
2018-05-06,Open,0,0,,0
2018-05-07,Open,0,0,,0
2018-05-08,Open,0,0,,0
2018-05-09,Open,0,0,,0
2018-05-10,Open,0,0,,0
2018-05-11,Open,0,0,,0
2018-05-12,Open,0,0,,0
2018-05-13,Open,0,0,,0
2018-05-14,Open,0,0,,0
2018-05-15,Open,0,0,,0
2018-05-16,Open,0,0,,0
2018-05-17,Open,0,0,,0
2018-05-18,Open,0,0,,0
2018-05-19,Open,0,0,,0
2018-05-20,Open,0,0,,0
2018-05-21,Open,0,0,,0
2018-05-22,Open,0,0,,0
2018-05-23,Open,0,0,,0
2018-05-24,Open,0,0,,0
2018-05-25,Open,0,0,,0
2018-05-26,Open,0,0,,0
2018-05-27,Open,0,0,,0
2018-05-28,Open,0,0,,0
2018-05-29,Open,0,0,,0
2018-05-30,Open,0,0,,0
2018-05-31,Open,0,0,,0
2018-06-01,Open,0,0,,0
2018-06-02,Open,0,0,,0
2018-06-03,Open,0,0,,0
2018-06-04,Open,0,0,,0
2018-06-05,Open,0,0,,0
2018-06-06,Open,0,0,,0
2018-06-07,Open,0,0,,0
2018-06-08,Open,0,0,,0
2018-06-09,Open,0,0,,0
2018-06-10,Open,0,0,,0
2018-06-11,Open,0,0,,0
2018-06-12,Open,0,0,,0
2018-06-13,Open,0,0,,0
2018-06-14,Open,0,0,,0
2018-06-15,Open,0,0,,0
2018-06-16,Open,0,0,,0
2018-06-17,Open,0,0,,0
2018-06-18,Open,0,0,,0
2018-06-19,Open,0,0,,0
2018-06-20,Open,0,0,,0
2018-06-21,Open,0,0,,0
2018-06-22,Open,0,0,,0
2018-06-23,Open,0,0,,0
2018-06-24,Open,0,0,,0
2018-06-25,Open,0,0,,0
2018-06-26,Open,0,0,,0
2018-06-27,Open,0,0,,0
2018-06-28,Open,0,0,,0
2018-06-29,Open,0,0,,0
2018-06-30,Open,0,0,,0
2018-07-01,Open,0,0,,0
2018-07-02,Open,0,0,,0
2018-07-03,Open,0,0,,0
2018-07-04,Open,0,0,,0
2018-07-05,Open,0,0,,0
2018-07-06,Open,0,0,,0
2018-07-07,Open,0,0,,0
2018-07-08,Open,0,0,,0
2018-07-09,Open,0,0,,0
2018-07-10,Open,0,0,,0
2018-07-11,Open,0,0,,0
2018-07-12,Open,0,0,,0
2018-07-13,Open,0,0,,0
2018-07-14,Open,0,0,,0
2018-07-15,Open,0,0,,0
2018-07-16,Open,0,0,,0
2018-07-17,Open,0,0,,0
2018-07-18,Open,0,0,,0
2018-07-19,Open,0,0,,0
2018-07-20,Open,0,0,,0
2018-07-21,Open,0,0,,0
2018-07-22,Open,0,0,,0
2018-07-23,Open,0,0,,0
2018-07-24,Open,0,0,,0
2018-07-25,Open,0,0,,0
2018-07-26,Open,0,0,,0
2018-07-27,Open,0,0,,0
2018-07-28,Open,0,0,,0
2018-07-29,Open,0,0,,0
2018-07-30,Open,0,0,,0
2018-07-31,Open,0,0,,0
2018-08-01,Open,0,0,,0
2018-08-02,Open,0,0,,0
2018-08-03,Open,0,0,,0
2018-08-04,Open,0,0,,0
2018-08-05,Open,0,0,,0
2018-08-06,Open,0,0,,0
2018-08-07,Open,0,0,,0
2018-08-08,Open,0,0,,0
2018-08-09,Open,0,0,,0
2018-08-10,Open,0,0,,0
2018-08-11,Open,0,0,,0
2018-08-12,Open,0,0,,0
2018-08-13,Open,0,0,,0
2018-08-14,Open,0,0,,0
2018-08-15,Open,0,0,,0
2018-08-16,Open,0,0,,0
2018-08-17,Open,0,0,,0
2018-08-18,Open,0,0,,0
2018-08-19,Open,0,0,,0
2018-08-20,Open,0,0,,0
2018-08-21,Open,0,0,,0
2018-08-22,Open,0,0,,0
2018-08-23,Open,0,0,,0
2018-08-24,Open,0,0,,0
2018-08-25,Open,0,0,,0
2018-08-26,Open,0,0,,0
2018-08-27,Open,0,0,,0
2018-08-28,Open,0,0,,0
2018-08-29,Open,0,0,,0
2018-08-30,Open,0,0,,0
2018-08-31,Open,0,0,,0
2018-09-01,Open,0,0,,0
2018-09-02,Open,0,0,,0
2018-09-03,Open,0,0,,0
2018-09-04,Open,0,0,,0
2018-09-05,Open,0,0,,0
2018-09-06,Open,0,0,,0
2018-09-07,Open,0,0,,0
2018-09-08,Open,0,0,,0
2018-09-09,Open,0,0,,0
2018-09-10,Open,0,0,,0
2018-09-11,Open,0,0,,0
2018-09-12,Open,0,0,,0
2018-09-13,Open,0,0,,0
2018-09-14,Open,0,0,,0
2018-09-15,Open,0,0,,0
2018-09-16,Open,0,0,,0
2018-09-17,Open,0,0,,0
2018-09-18,Open,0,0,,0
2018-09-19,Open,0,0,,0
2018-09-20,Open,0,0,,0
2018-09-21,Open,0,0,,0
2018-09-22,Open,0,0,,0
2018-09-23,Open,0,0,,0
2018-09-24,Open,0,0,,0
2018-09-25,Open,0,0,,0
2018-09-26,Open,0,0,,0
2018-09-27,Open,0,0,,0
2018-09-28,Open,0,0,,0
2018-09-29,Open,0,0,,0
2018-09-30,Open,0,0,,0
2018-10-01,Open,0,0,,0
2018-10-02,Open,0,0,,0
2018-10-03,Open,0,0,,0
2018-10-04,Open,0,0,,0
2018-10-05,Open,0,0,,0
2018-10-06,Open,0,0,,0
2018-10-07,Open,0,0,,0
2018-10-08,Open,0,0,,0
2018-10-09,Open,0,0,,0
2018-10-10,Open,0,0,,0
2018-10-11,Open,0,0,,0
2018-10-12,Open,0,0,,0
2018-10-13,Open,0,0,,0
2018-10-14,Open,0,0,,0
2018-10-15,Open,0,0,,0
2018-10-16,Open,0,0,,0
2018-10-17,Open,0,0,,0
2018-10-18,Open,0,0,,0
2018-10-19,Open,0,0,,0
2018-10-20,Open,0,0,,0
2018-10-21,Open,0,0,,0
2018-10-22,Open,0,0,,0
2018-10-23,Open,0,0,,0
2018-10-24,Open,0,0,,0
2018-10-25,Open,0,0,,0
2018-10-26,Open,0,0,,0
2018-10-27,Open,0,0,,0
2018-10-28,Open,0,0,,0
2018-10-29,Open,0,0,,0
2018-10-30,Open,0,0,,0
2018-10-31,Open,0,0,,0
2018-11-01,Open,0,0,,0
2018-11-02,Open,0,0,,0
2018-11-03,Open,0,0,,0
2018-11-04,Open,0,0,,0
2018-11-05,Open,0,0,,0
2018-11-06,Open,0,0,,0
2018-11-07,Open,0,0,,0
2018-11-08,Open,0,0,,0
2018-11-09,Open,0,0,,0
2018-11-10,Open,0,0,,0
2018-11-11,Open,0,0,,0
2018-11-12,Open,0,0,,0
2018-11-13,Open,0,0,,0
2018-11-14,Open,0,0,,0
2018-11-15,Open,0,0,,0
2018-11-16,Open,0,0,,0
2018-11-17,Open,0,0,,0
2018-11-18,Open,0,0,,0
2018-11-19,Open,0,0,,0
2018-11-20,Open,0,0,,0
2018-11-21,Open,0,0,,0
2018-11-22,Open,0,0,,0
2018-11-23,Open,0,0,,0
2018-11-24,Open,0,0,,0
